1,Allison Hill,donaldgarcia@example.net,Customer Support,2023-10-04,True
2,Jennifer Cole,lisa02@example.net,Customer Support,2022-11-09,True
3,Jamie Arnold,barbara10@example.net,Loan Officer,2021-12-14,True
4,Mia Sutton,lynchgeorge@example.net,Manager,2024-03-14,True
6,Johnny Campos,hernandezernest@example.net,Manager,2021-08-23,True
7,Aaron Bowen,teresa28@example.org,Customer Support,2020-09-25,True
8,William Roman,brianhumphrey@example.org,Customer Support,2024-12-30,True
9,Nicole Vaughn,raymond57@example.net,Teller,2023-09-19,True
10,Austin Johnson,chad34@example.net,Customer Support,2022-04-17,True
5,Austin Gentry,jason76@example.net,Manager,2025-03-01,False
14,Amit Sharma,amit.sharma@bankcrm.com,Relationship Manager,2022-03-15,True
15,Neha Verma,neha.verma@bankcrm.com,Loan Officer,2021-06-21,True
16,Rajiv Mehta,rajiv.mehta@bankcrm.com,Branch Manager,2019-11-05,True
17,Priya Iyer,priya.iyer@bankcrm.com,Customer Support,2023-01-10,True
18,Siddharth Rao,siddharth.rao@bankcrm.com,Field Officer,2020-08-30,False
19,Anjali Das,anjali.das@bankcrm.com,Relationship Manager,2023-05-12,True
20,Mohit Singh,mohit.singh@bankcrm.com,Loan Officer,2018-04-17,False
21,Kiran Nair,kiran.nair@bankcrm.com,Customer Support,2022-07-01,True
22,Ritika Sen,ritika.sen@bankcrm.com,Branch Manager,2020-09-25,True
23,Tanmay Joshi,tanmay.joshi@bankcrm.com,Field Officer,2021-12-03,True
